-0.371	-0.786	0.494
0.723	-0.573	-0.388
0.592	0.220	0.775
-0.261	0.059	0.964
0.974	0.225	0.033
-0.436	0.840	-0.323
-0.179	-0.874	-0.452
0.309	-0.420	0.854
0.793	0.178	-0.583
0.872	-0.377	0.314
-0.612	-0.784	-0.104
-0.243	0.632	0.736
-0.040	0.998	-0.050
0.241	0.446	-0.862
0.790	0.423	0.443
0.952	-0.222	-0.210
0.161	0.326	0.932
0.450	-0.870	-0.201
0.677	-0.262	0.688
0.749	0.570	-0.339
0.608	-0.264	-0.749
-0.073	0.792	-0.606
-0.406	-0.629	-0.662
0.763	-0.642	0.064
-0.124	0.111	-0.986
0.339	0.934	-0.116
0.927	0.018	0.374
0.541	0.234	-0.808
0.188	-0.873	-0.451
0.523	-0.616	0.589
-0.946	-0.151	0.288
-0.830	-0.554	-0.067
0.165	-0.381	-0.910
-0.037	-0.933	0.358
-0.453	0.040	-0.890
0.817	-0.259	-0.515
-0.500	-0.772	-0.391
0.527	0.551	-0.646
0.485	-0.686	-0.542
0.977	-0.185	0.106
0.036	-0.556	0.830
-0.110	-0.654	-0.749
0.355	-0.933	0.059
-0.783	-0.052	-0.620
0.202	0.967	0.160
-0.697	0.628	-0.345
-0.527	0.033	0.850
0.582	0.778	-0.235
-0.141	-0.195	0.971
0.866	-0.482	-0.134
0.616	0.488	0.619
-0.889	-0.398	0.228
0.298	-0.696	0.653
0.441	-0.463	-0.769
0.120	-0.969	-0.217
0.358	0.224	0.906
0.215	0.692	-0.690
-0.923	-0.264	-0.280
-0.649	0.742	0.169
-0.871	0.026	0.491
0.744	-0.403	0.533
0.004	-0.133	-0.991
-0.708	-0.639	-0.302
-0.200	0.921	-0.334
-0.711	-0.421	0.562
-0.035	0.788	0.614
-0.492	0.275	-0.826
0.998	-0.011	-0.067
-0.411	-0.900	-0.142
-0.655	0.467	0.594
-0.065	0.347	-0.935
0.259	0.910	-0.323
0.283	0.503	0.817
0.582	-0.803	0.124
-0.864	0.166	-0.476
-0.713	0.033	0.701
-0.749	-0.653	0.111
-0.357	-0.242	0.902
-0.396	0.824	0.406
0.756	0.266	0.599
-0.904	0.420	-0.074
-0.358	0.266	0.895
0.565	0.684	-0.461
0.309	0.771	0.556
-0.470	0.492	-0.733
0.137	0.988	-0.081
0.862	-0.380	-0.337
0.260	0.035	0.965
0.985	0.049	0.169
0.308	-0.814	0.492
