-0.923	0.254	-0.289
0.190	0.953	0.237
-0.335	-0.160	0.929
-0.184	0.800	-0.571
-0.406	-0.405	-0.819
-0.899	-0.247	0.361
-0.550	0.680	0.484
0.784	0.587	0.202
-0.442	0.266	-0.856
-0.478	-0.754	0.450
-0.601	0.797	-0.062
-0.226	0.420	0.879
-0.902	0.260	0.345
0.828	0.186	0.529
0.006	-0.983	0.185
0.038	0.477	-0.878
-0.051	-0.765	-0.642
0.670	-0.108	-0.735
0.651	-0.560	0.513
0.577	0.815	-0.048
0.126	0.081	0.989
0.991	0.123	0.060
-0.266	0.923	0.277
0.615	0.440	-0.654
0.561	0.631	0.536
0.853	-0.520	-0.040
-0.661	0.037	-0.750
0.170	0.759	-0.629
